"val","TempMedia","TempMin","TempMax","pais"
1768,5.57275,-2.882,15.42,"United States"
1769,NA,NA,NA,"United States"
1770,NA,NA,NA,"United States"
1771,NA,NA,NA,"United States"
1772,NA,NA,NA,"United States"
1773,NA,NA,NA,"United States"
1774,NA,NA,NA,"United States"
1775,9.49916666666667,-3.937,21.601,"United States"
1776,NA,NA,NA,"United States"
1777,8.30475,-2.641,19.398,"United States"
1778,NA,NA,NA,"United States"
1779,NA,NA,NA,"United States"
1780,NA,NA,NA,"United States"
1781,NA,NA,NA,"United States"
1782,NA,NA,NA,"United States"
1783,NA,NA,NA,"United States"
1784,NA,NA,NA,"United States"
1785,NA,NA,NA,"United States"
1786,NA,NA,NA,"United States"
1787,NA,NA,NA,"United States"
1788,NA,NA,NA,"United States"
1789,NA,NA,NA,"United States"
1790,NA,NA,NA,"United States"
1791,NA,NA,NA,"United States"
1792,NA,NA,NA,"United States"
1793,NA,NA,NA,"United States"
1794,NA,NA,NA,"United States"
1795,NA,NA,NA,"United States"
1796,NA,NA,NA,"United States"
1797,NA,NA,NA,"United States"
1798,NA,NA,NA,"United States"
1799,NA,NA,NA,"United States"
1800,NA,NA,NA,"United States"
1801,NA,NA,NA,"United States"
1802,NA,NA,NA,"United States"
1803,NA,NA,NA,"United States"
1804,NA,NA,NA,"United States"
1805,NA,NA,NA,"United States"
1806,NA,NA,NA,"United States"
1807,NA,NA,NA,"United States"
1808,NA,NA,NA,"United States"
1809,NA,NA,NA,"United States"
1810,NA,NA,NA,"United States"
1811,NA,NA,NA,"United States"
1812,7.01266666666667,-5.972,21.686,"United States"
1813,NA,NA,NA,"United States"
1814,NA,NA,NA,"United States"
1815,7.50133333333333,-4.49,21.953,"United States"
1816,NA,NA,NA,"United States"
1817,7.22991666666667,-5.411,20.296,"United States"
1818,NA,NA,NA,"United States"
1819,NA,NA,NA,"United States"
1820,7.56383333333333,-6.929,20.031,"United States"
1821,8.00408333333333,-4.464,20.527,"United States"
1822,8.38683333333333,-5.644,21.539,"United States"
1823,7.911,-4.542,21.453,"United States"
1824,8.50225,-2.892,21.696,"United States"
1825,8.9665,-2.982,21.659,"United States"
1826,8.579,-4.033,21.247,"United States"
1827,9.102,-3.153,21.709,"United States"
1828,8.8485,-4.382,21.908,"United States"
1829,8.38925,-4.281,21.577,"United States"
1830,9.21508333333333,-3.184,22.816,"United States"
1831,7.72075,-5.634,20.806,"United States"
1832,8.24741666666667,-3.492,21.043,"United States"
1833,8.81191666666667,-2.264,21.092,"United States"
1834,8.82958333333333,-5.445,21.747,"United States"
1835,7.53925,-4.543,20.119,"United States"
1835,18.99325,13.45,23.458,"Mexico"
1836,7.56391666666667,-4.311,20.591,"United States"
1836,19.5871666666667,14.443,24.284,"Mexico"
1837,7.98441666666667,-3.744,21.028,"United States"
1837,19.6710833333333,14.956,24.712,"Mexico"
1838,7.54866666666667,-5.803,21.958,"United States"
1838,19.337,12.481,24.739,"Mexico"
1839,8.52216666666667,-3.667,21.384,"United States"
1839,19.7858333333333,12.918,25.007,"Mexico"
1840,8.2515,-3.875,21.067,"United States"
1840,19.8829166666667,14.62,25.105,"Mexico"
1841,8.14925,-4.347,21.652,"United States"
1841,19.9046666666667,13.551,25.453,"Mexico"
1842,8.35833333333333,-2.712,20.01,"United States"
1842,20.2010833333333,15.107,24.133,"Mexico"
1843,7.78366666666667,-4.293,20.568,"United States"
1843,20.2733333333333,15.826,24.222,"Mexico"
1844,8.08283333333333,-4.257,21.08,"United States"
1844,19.8398333333333,13.683,24.608,"Mexico"
1845,8.40891666666667,-4.59,21.317,"United States"
1845,19.7774166666667,13.265,24.635,"Mexico"
1846,9.13633333333333,-2.186,21.826,"United States"
1846,20.5418333333333,15.861,25.343,"Mexico"
1847,7.90708333333333,-5.014,20.932,"United States"
1847,19.9515,14.034,24.691,"Mexico"
1848,8.01683333333333,-3.714,20.497,"United States"
1848,19.9569166666667,14.02,24.935,"Mexico"
1849,8.12916666666667,-4.805,21.099,"United States"
1849,20.5226666666667,14.851,25.506,"Mexico"
1850,8.24833333333333,-4.7,21.577,"United States"
1850,20.3065,12.878,25.71,"Mexico"
1851,8.6575,-3.981,21.42,"United States"
1851,20.2419166666667,14.721,25.378,"Mexico"
1852,8.18308333333333,-4.56,21.327,"United States"
1852,20.2320833333333,12.709,24.934,"Mexico"
1853,8.45991666666667,-3.65,20.894,"United States"
1853,20.0515833333333,13.572,25.549,"Mexico"
1854,8.82125,-4.986,22.205,"United States"
1854,20.06,13.903,24.494,"Mexico"
1855,8.45941666666667,-4.692,21.358,"United States"
1855,20.001,14.711,24.831,"Mexico"
1856,7.94325,-6.784,22.019,"United States"
1856,19.8259166666667,12.064,26.032,"Mexico"
1857,8.14033333333333,-7.097,21.27,"United States"
1857,20.13675,13.901,25.338,"Mexico"
1858,8.41283333333333,-3.389,21.112,"United States"
1858,20.3613333333333,14.302,25.17,"Mexico"
1859,8.01683333333333,-5.518,20.808,"United States"
1859,20.4768333333333,12.862,25.849,"Mexico"
1860,8.58091666666667,-3.784,21.548,"United States"
1860,20.1125,14.132,25.475,"Mexico"
1861,8.6505,-5.307,21.232,"United States"
1861,20.7230833333333,13.726,26.055,"Mexico"
1862,8.214,-4.437,21.368,"United States"
1862,20.5454166666667,14.518,25.71,"Mexico"
1863,8.44625,-3.116,21.136,"United States"
1863,20.4436666666667,13.981,24.999,"Mexico"
1864,8.38108333333333,-4.711,21.837,"United States"
1864,20.303,13.879,25.396,"Mexico"
1865,8.49566666666667,-4.772,20.81,"United States"
1865,20.4568333333333,14.835,25.351,"Mexico"
1866,8.33433333333333,-4.378,21.679,"United States"
1866,20.5665,15.372,25.141,"Mexico"
1867,8.509,-4.794,21.011,"United States"
1867,21.294,15.492,25.771,"Mexico"
1868,8.20741666666667,-6.279,22.242,"United States"
1868,20.4705833333333,14.319,25.5,"Mexico"
1869,8.31125,-2.946,21.268,"United States"
1869,20.55725,13.45,25.258,"Mexico"
1870,8.8295,-3.945,22.188,"United States"
1870,20.4380833333333,12.918,25.158,"Mexico"
1871,8.70675,-3.811,21.367,"United States"
1871,20.5135,14.123,25.687,"Mexico"
1872,8.00075,-4.951,21.065,"United States"
1872,20.2730833333333,13.151,25.28,"Mexico"
1873,8.06308333333333,-5.177,21.429,"United States"
1873,20.3239166666667,13.614,24.793,"Mexico"
1874,8.768,-3.292,22.079,"United States"
1874,20.4370833333333,15.01,25.561,"Mexico"
1875,7.84966666666667,-7.57,21.284,"United States"
1875,20.2955,13.565,25.186,"Mexico"
1876,8.099,-5.554,21.524,"United States"
1876,20.23475,13.191,24.95,"Mexico"
1877,8.69658333333333,-4.87,21.461,"United States"
1877,20.4984166666667,14.414,25.43,"Mexico"
1878,9.01716666666667,-4.487,22.029,"United States"
1878,20.6356666666667,14.276,25.834,"Mexico"
1879,8.68325,-4.741,21.696,"United States"
1879,20.6133333333333,15.051,25.467,"Mexico"
1880,8.11033333333333,-4.767,20.85,"United States"
1880,20.0634166666667,15.015,25.026,"Mexico"
1881,8.6435,-6.51,21.669,"United States"
1881,20.3305833333333,13.006,25.431,"Mexico"
1882,8.36991666666667,-3.498,20.368,"United States"
1882,20.17025,14.629,24.854,"Mexico"
1883,7.94225,-6.158,20.922,"United States"
1883,20.1180833333333,13.661,24.954,"Mexico"
1884,7.958,-5.94,20.645,"United States"
1884,20.1258333333333,13.506,25.368,"Mexico"
1885,8.15841666666667,-6.103,21.241,"United States"
1885,20.31025,14.194,24.851,"Mexico"
1886,8.18183333333333,-7.581,21.862,"United States"
1886,20.1505833333333,13.671,25.258,"Mexico"
1887,8.14358333333333,-5.627,21.419,"United States"
